Atomos,Moléculas,tempo
50,0,0
48,1,1
46,2,2
44,3,3
42,4,4
40,5,5
38,6,6
36,7,7
34,8,8
32,9,9
30,10,10
28,11,11
26,12,12
24,13,13
22,14,14
20,15,15
18,16,16
16,17,17
14,18,18
14,18,19
14,18,20
12,19,21
10,20,22
10,20,23
10,20,24
10,20,25
8,21,26
8,21,27
8,21,28
8,21,29
8,21,30
8,21,31
8,21,32
6,22,33
6,22,34
4,23,35
4,23,36
4,23,37
4,23,38
4,23,39
4,23,40
4,23,41
4,23,42
4,23,43
4,23,44
4,23,45
4,23,46
4,23,47
2,24,48
2,24,49
2,24,50
2,24,51
2,24,52
2,24,53
2,24,54
2,24,55
2,24,56
2,24,57
2,24,58
2,24,59
2,24,60
2,24,61
2,24,62
2,24,63
2,24,64
2,24,65
2,24,66
2,24,67
2,24,68
2,24,69
0,25,70
0,25,71
0,25,72
0,25,73
0,25,74
0,25,75
0,25,76
0,25,77
0,25,78
0,25,79
0,25,80
0,25,81
0,25,82
0,25,83
0,25,84
0,25,85
0,25,86
0,25,87
0,25,88
0,25,89
0,25,90
0,25,91
0,25,92
0,25,93
0,25,94
0,25,95
0,25,96
0,25,97
0,25,98
0,25,99
