Reagentes sistema 1,Reagentes sistema 2,Reagentes sistema 3,Reagentes sistema 4,Reagentes sistema 5,tempo
133,133,133,133,133,0
131,131,131,131,131,1
129,129,129,129,129,2
127,127,127,127,127,3
125,125,125,125,125,4
123,123,123,123,123,5
121,121,121,121,121,6
119,119,119,119,119,7
117,117,117,117,117,8
115,115,115,115,115,9
113,113,113,113,115,10
111,111,111,111,115,11
109,109,109,109,113,12
107,107,107,107,111,13
105,105,105,107,109,14
103,103,103,105,109,15
101,101,103,105,107,16
99,99,101,105,105,17
97,97,99,103,103,18
97,95,97,101,103,19
95,93,97,99,101,20
93,91,97,97,101,21
91,89,95,95,99,22
89,87,93,93,97,23
87,85,91,91,97,24
85,83,89,89,95,25
83,83,87,87,93,26
81,83,87,87,91,27
79,81,85,87,91,28
77,79,85,87,89,29
75,77,83,87,89,30
73,77,81,87,89,31
71,75,81,85,89,32
69,75,81,85,89,33
67,75,81,85,89,34
65,75,79,85,89,35
63,75,79,85,89,36
61,75,79,85,87,37
61,75,77,85,87,38
59,73,77,85,87,39
57,73,77,85,87,40
57,71,75,85,87,41
55,69,75,83,87,42
55,69,75,83,87,43
55,69,75,83,87,44
55,69,75,83,87,45
55,67,75,83,87,46
55,67,75,83,87,47
53,67,75,83,87,48
53,67,75,83,87,49
51,67,75,83,87,50
51,67,75,81,87,51
49,67,75,81,87,52
49,67,75,81,87,53
47,67,75,81,87,54
47,67,75,81,87,55
47,67,75,81,87,56
47,67,75,81,87,57
47,67,75,81,87,58
45,67,75,81,87,59
45,67,75,81,87,60
43,67,75,81,87,61
43,67,75,81,87,62
41,67,75,81,87,63
41,67,75,81,87,64
41,67,75,81,87,65
41,67,75,81,87,66
41,67,73,81,87,67
41,67,73,81,87,68
41,67,73,81,87,69
41,67,73,81,87,70
39,67,73,81,87,71
39,67,73,81,87,72
39,67,73,81,87,73
39,67,73,81,87,74
39,67,73,81,87,75
39,67,73,81,87,76
39,67,73,81,87,77
39,67,73,81,87,78
37,67,73,81,87,79
37,67,73,81,87,80
37,67,73,81,87,81
37,67,73,79,87,82
37,67,73,79,87,83
37,67,73,79,87,84
35,67,73,79,85,85
35,67,73,79,85,86
35,67,73,79,85,87
35,67,73,79,85,88
35,67,73,77,85,89
35,67,73,77,85,90
35,67,73,77,85,91
35,67,73,77,85,92
35,67,73,77,85,93
33,67,73,77,85,94
33,67,73,77,85,95
33,67,73,77,85,96
33,67,73,77,85,97
33,67,73,77,85,98
33,67,73,77,85,99
