Reagentes sistema 1,Reagentes sistema 2,Reagentes sistema 3,Reagentes sistema 4,Reagentes sistema 5,tempo
241,241,241,241,241,0
239,239,239,239,239,1
237,237,237,237,237,2
235,235,235,235,235,3
233,233,233,233,233,4
231,231,231,231,231,5
229,229,229,229,229,6
227,227,227,227,227,7
225,225,225,225,225,8
223,223,223,223,223,9
221,221,221,221,221,10
219,219,219,219,219,11
217,217,217,217,217,12
215,215,215,215,215,13
213,213,213,213,213,14
211,211,211,211,211,15
209,209,209,209,209,16
207,207,207,207,207,17
205,205,205,205,205,18
203,203,203,203,203,19
201,201,201,201,201,20
199,199,199,199,199,21
197,197,197,197,197,22
195,195,195,195,195,23
193,193,193,193,193,24
191,191,191,191,191,25
189,189,189,191,189,26
187,187,187,189,187,27
185,185,185,187,185,28
183,183,183,187,185,29
181,181,181,185,185,30
179,179,179,183,185,31
177,177,177,181,185,32
175,175,175,179,183,33
173,173,173,177,181,34
171,171,173,177,181,35
169,169,171,175,181,36
167,167,169,173,179,37
165,165,169,173,179,38
163,163,167,173,179,39
161,161,167,173,179,40
159,159,165,171,179,41
157,157,163,171,177,42
155,155,163,171,177,43
153,153,163,171,177,44
151,151,161,169,177,45
149,149,161,169,177,46
147,147,161,169,177,47
145,147,159,169,177,48
143,147,157,169,177,49
141,145,157,169,177,50
139,143,157,169,177,51
137,141,157,167,177,52
135,141,157,167,177,53
133,141,157,167,177,54
131,139,157,167,177,55
129,139,157,165,177,56
127,139,155,165,175,57
125,137,153,165,175,58
123,137,153,165,175,59
123,135,153,165,175,60
121,135,151,165,175,61
121,135,151,165,175,62
119,135,151,165,175,63
117,135,151,165,175,64
115,133,151,165,175,65
113,133,151,163,175,66
111,133,151,163,175,67
111,133,149,163,175,68
109,133,149,163,175,69
109,133,149,163,175,70
107,133,149,163,175,71
105,133,149,163,175,72
103,133,149,163,175,73
101,131,149,163,175,74
99,131,149,163,175,75
97,131,149,163,175,76
97,131,149,163,175,77
97,131,149,163,175,78
97,129,149,163,175,79
97,129,149,163,175,80
97,129,149,163,175,81
97,129,149,163,175,82
97,129,149,163,175,83
97,129,149,163,175,84
97,129,149,163,175,85
95,129,149,163,175,86
95,129,149,163,173,87
95,127,149,163,173,88
95,127,149,163,173,89
95,127,149,163,173,90
