Reagentes sistema 1,Reagentes sistema 2,Reagentes sistema 3,Reagentes sistema 4,Reagentes sistema 5,tempo
100,100,100,100,100,0
98,98,98,98,98,1
96,96,96,96,96,2
94,94,94,94,94,3
92,92,92,92,92,4
90,90,90,90,90,5
88,88,88,88,88,6
86,86,86,86,86,7
84,84,84,84,84,8
82,82,82,82,84,9
80,80,80,82,82,10
78,78,78,80,80,11
76,76,76,78,78,12
76,74,74,76,76,13
74,74,72,74,74,14
72,72,70,72,72,15
70,70,70,70,70,16
68,68,68,68,68,17
66,66,66,68,66,18
64,66,64,66,64,19
62,64,62,66,62,20
60,62,62,64,60,21
60,60,60,62,58,22
58,60,60,62,56,23
58,58,58,60,54,24
58,56,56,58,52,25
56,56,54,58,50,26
54,54,54,56,50,27
52,54,54,54,50,28
50,52,52,54,48,29
48,52,52,52,48,30
48,50,52,52,48,31
46,50,52,50,48,32
46,50,52,50,48,33
46,50,52,50,48,34
44,50,52,50,48,35
44,48,52,50,46,36
44,48,52,50,46,37
44,46,52,50,44,38
42,46,50,50,44,39
42,44,50,50,44,40
40,44,48,50,42,41
38,42,46,50,42,42
38,42,46,50,42,43
38,42,44,48,40,44
38,42,44,48,40,45
38,40,44,48,40,46
36,40,44,48,40,47
34,38,44,48,40,48
34,38,44,46,40,49
34,38,44,46,38,50
34,38,44,46,36,51
34,38,44,46,36,52
34,38,44,44,36,53
34,38,44,44,36,54
34,38,44,42,34,55
34,38,44,42,34,56
34,38,44,42,34,57
34,38,44,40,34,58
34,38,44,40,34,59
32,38,42,38,34,60
30,38,42,38,34,61
28,38,42,38,34,62
28,36,42,38,34,63
28,36,40,38,34,64
28,36,40,38,34,65
28,36,40,38,34,66
26,36,40,38,34,67
26,36,40,38,34,68
26,34,38,38,34,69
26,34,38,38,34,70
26,32,36,38,34,71
26,32,36,38,34,72
26,30,36,38,34,73
26,30,36,38,34,74
26,30,34,36,34,75
26,30,34,36,34,76
26,30,34,36,34,77
26,30,34,36,34,78
26,28,34,36,34,79
24,28,34,36,34,80
24,28,34,36,34,81
24,28,34,36,34,82
24,28,34,36,34,83
24,28,34,36,34,84
24,28,34,36,34,85
24,28,34,36,34,86
24,28,32,36,32,87
24,28,30,36,32,88
24,26,30,36,32,89
24,26,30,36,30,90
24,26,28,36,30,91
24,26,28,34,30,92
24,26,28,34,30,93
24,26,28,34,30,94
24,26,28,34,30,95
24,26,28,34,30,96
24,26,28,32,30,97
24,26,28,32,30,98
24,26,28,30,30,99
24,26,28,30,30,100
24,26,28,28,30,101
24,26,28,28,30,102
24,26,28,28,30,103
24,26,28,28,30,104
24,26,28,28,30,105
24,26,28,28,30,106
24,26,28,28,30,107
24,24,28,28,30,108
24,24,28,28,30,109
24,24,28,28,30,110
24,24,28,28,30,111
22,24,26,28,30,112
22,24,26,28,30,113
22,24,26,28,30,114
22,24,26,28,30,115
22,24,26,28,30,116
22,24,26,28,30,117
22,24,26,28,30,118
22,24,26,26,30,119
22,24,26,26,30,120
22,22,26,26,30,121
22,22,26,26,30,122
22,22,26,26,30,123
22,22,26,26,30,124
22,22,26,26,30,125
22,22,26,26,30,126
22,22,26,26,30,127
22,22,26,26,30,128
22,22,26,26,30,129
22,22,26,26,30,130
22,22,26,26,30,131
22,22,26,26,30,132
22,22,24,26,30,133
22,22,24,26,30,134
22,22,24,26,30,135
22,20,24,26,30,136
22,20,24,26,30,137
22,20,24,26,30,138
22,20,24,26,30,139
22,20,24,26,30,140
22,20,24,26,30,141
22,20,24,26,30,142
22,20,24,26,30,143
22,20,24,26,30,144
22,20,24,26,30,145
22,20,22,26,30,146
22,20,22,26,30,147
22,20,22,26,30,148
22,20,22,26,28,149
22,20,22,26,28,150
22,20,22,26,26,151
22,20,22,26,26,152
22,20,22,26,26,153
22,20,22,26,26,154
22,20,22,26,26,155
22,20,22,26,26,156
22,20,22,26,26,157
22,20,22,26,26,158
22,20,22,26,26,159
22,20,22,26,26,160
22,20,22,26,26,161
22,20,22,26,26,162
22,20,22,26,26,163
22,20,22,26,26,164
22,20,22,26,26,165
22,20,22,26,26,166
22,20,22,26,26,167
22,20,22,26,26,168
22,20,22,26,26,169
22,20,22,26,24,170
22,20,22,26,24,171
22,20,22,26,24,172
22,20,22,26,24,173
22,20,22,26,24,174
22,20,22,26,24,175
22,20,22,26,24,176
22,20,22,26,24,177
22,20,22,26,24,178
22,20,22,26,24,179
22,20,22,26,24,180
22,20,22,26,24,181
22,20,22,26,24,182
22,20,22,26,24,183
22,20,22,26,24,184
22,20,22,24,24,185
22,20,22,24,24,186
22,20,22,24,24,187
22,20,22,24,24,188
22,20,20,24,24,189
22,20,20,24,24,190
22,20,20,24,24,191
22,20,20,24,24,192
22,20,20,24,24,193
22,20,20,24,24,194
22,20,20,24,24,195
22,20,20,24,24,196
22,20,20,24,24,197
22,20,20,24,24,198
22,20,20,24,24,199
22,20,20,24,24,200
22,20,20,24,24,201
22,20,20,24,24,202
22,20,20,24,24,203
22,20,20,24,24,204
22,20,20,24,24,205
22,20,20,24,24,206
22,20,20,24,24,207
22,20,20,24,24,208
22,20,20,24,24,209
22,20,20,24,24,210
22,20,20,24,24,211
22,20,20,24,24,212
22,20,20,24,24,213
22,20,20,24,24,214
22,20,20,24,24,215
22,20,20,24,24,216
22,20,20,24,24,217
22,20,20,24,24,218
22,20,20,24,24,219
22,20,20,24,24,220
22,20,20,24,24,221
22,20,20,24,24,222
22,20,20,24,24,223
22,20,20,24,24,224
22,20,20,24,24,225
22,20,20,24,24,226
22,20,20,24,24,227
22,20,20,24,24,228
22,20,20,24,24,229
22,20,20,24,24,230
22,20,20,24,24,231
22,20,20,24,24,232
22,20,20,24,24,233
22,20,20,24,22,234
22,20,20,24,22,235
22,20,20,24,22,236
22,20,20,24,22,237
22,20,20,24,22,238
22,20,20,24,22,239
22,20,20,24,22,240
22,20,20,24,22,241
20,20,20,24,22,242
20,20,20,24,22,243
20,20,20,24,22,244
20,20,20,24,22,245
20,20,20,24,22,246
20,20,20,24,22,247
20,20,20,24,22,248
20,20,20,24,22,249
