Reagentes sistema 1,Reagentes sistema 2,Reagentes sistema 3,Reagentes sistema 4,Reagentes sistema 5,tempo
241,241,241,241,241,0
239,239,239,239,239,1
237,237,237,237,237,2
235,235,235,235,235,3
233,233,233,233,233,4
231,231,231,231,231,5
229,229,229,229,229,6
227,227,227,227,227,7
225,225,225,225,225,8
223,223,223,223,223,9
221,221,221,221,221,10
219,219,219,219,219,11
217,217,217,217,217,12
215,215,215,215,215,13
213,213,213,213,213,14
211,211,211,211,211,15
209,209,209,209,209,16
207,207,207,207,207,17
205,205,205,205,205,18
203,203,203,203,203,19
201,201,201,201,201,20
199,199,199,199,199,21
197,197,197,197,197,22
195,195,195,195,197,23
193,193,193,193,195,24
191,191,191,191,193,25
189,189,189,189,191,26
187,187,187,187,189,27
185,185,185,185,189,28
183,183,183,185,187,29
181,181,181,185,187,30
179,179,179,183,185,31
177,177,177,181,183,32
175,175,177,179,181,33
173,173,177,179,181,34
171,171,177,177,179,35
169,169,177,175,179,36
167,167,175,175,179,37
165,165,175,175,179,38
163,163,173,175,179,39
161,163,171,173,179,40
159,161,171,171,179,41
157,159,171,169,179,42
155,157,171,167,177,43
153,155,169,167,177,44
151,155,167,167,177,45
149,155,167,167,177,46
147,155,165,167,177,47
145,155,165,167,177,48
143,155,165,165,177,49
141,153,163,165,177,50
139,151,161,165,177,51
137,149,161,165,177,52
135,149,161,165,177,53
133,149,159,165,177,54
131,149,159,165,177,55
129,149,159,165,177,56
127,147,159,165,177,57
125,147,159,165,177,58
123,145,157,165,177,59
121,145,157,165,177,60
119,143,157,165,177,61
117,143,157,165,177,62
115,143,155,165,177,63
115,141,155,163,177,64
115,141,155,163,177,65
115,139,155,163,177,66
115,139,155,163,177,67
115,139,153,163,177,68
115,139,153,163,177,69
115,139,153,163,177,70
115,139,153,163,177,71
115,139,153,163,177,72
115,139,153,163,177,73
113,139,153,163,177,74
113,139,153,163,177,75
113,139,153,163,177,76
111,139,153,163,177,77
111,139,153,163,177,78
111,139,153,163,177,79
109,139,153,163,177,80
109,139,151,163,177,81
109,139,151,163,177,82
109,139,151,163,177,83
109,139,151,163,177,84
109,139,151,163,177,85
109,139,151,163,177,86
107,139,151,163,177,87
107,139,151,163,177,88
107,139,151,163,177,89
107,139,151,163,177,90
