Reagentes sistema 1,Reagentes sistema 2,Reagentes sistema 3,Reagentes sistema 4,Reagentes sistema 5,tempo
91,91,91,91,91,0
89,89,89,89,89,1
87,87,87,87,87,2
85,85,85,85,85,3
83,83,83,83,85,4
81,81,81,81,83,5
79,79,79,79,81,6
77,77,77,77,79,7
75,75,75,75,77,8
73,73,73,73,75,9
71,71,73,71,73,10
69,69,71,71,73,11
67,67,69,69,73,12
65,65,67,67,71,13
63,63,65,67,71,14
61,61,63,65,69,15
59,59,63,65,67,16
57,59,63,65,65,17
55,57,63,65,63,18
53,55,63,65,61,19
51,53,63,65,61,20
49,53,61,65,61,21
47,51,61,63,61,22
47,51,61,63,61,23
47,49,61,63,61,24
47,49,61,63,61,25
47,47,61,63,61,26
45,47,61,63,59,27
45,47,61,63,59,28
45,47,61,61,59,29
43,47,61,61,59,30
43,47,61,61,59,31
43,47,59,61,59,32
43,47,59,61,59,33
43,47,59,61,59,34
43,47,59,61,59,35
43,45,59,61,59,36
43,45,59,61,59,37
43,45,59,61,59,38
43,45,59,61,59,39
43,45,59,61,59,40
43,45,59,61,59,41
43,45,59,61,59,42
41,43,59,61,59,43
41,43,59,61,59,44
41,41,59,61,59,45
41,41,59,61,59,46
41,41,59,61,59,47
41,41,57,59,59,48
41,41,57,59,59,49
41,39,57,59,59,50
41,39,57,59,59,51
41,39,57,59,59,52
41,39,57,59,59,53
41,39,57,59,59,54
41,39,57,59,59,55
41,37,57,59,59,56
41,37,57,59,59,57
41,37,57,59,59,58
41,37,57,59,59,59
41,37,57,59,59,60
39,37,57,59,59,61
39,37,57,59,59,62
39,37,57,59,59,63
39,37,57,59,59,64
39,37,55,59,59,65
37,37,55,59,59,66
37,37,55,59,59,67
37,37,55,59,59,68
37,37,55,59,59,69
37,37,55,59,59,70
37,37,55,59,59,71
37,37,55,59,59,72
37,37,55,59,59,73
37,37,55,59,59,74
37,37,55,59,59,75
35,35,55,59,59,76
33,35,55,59,59,77
33,35,55,59,59,78
33,35,55,59,59,79
33,35,55,59,59,80
33,35,55,59,59,81
33,35,55,59,59,82
33,35,55,59,59,83
33,35,53,59,59,84
33,35,53,59,59,85
33,35,53,59,59,86
31,35,53,59,59,87
31,35,53,59,59,88
31,35,53,59,59,89
31,35,53,59,59,90
31,35,53,59,59,91
31,35,53,59,59,92
31,35,53,59,59,93
31,35,53,59,59,94
31,35,53,59,59,95
31,35,53,59,59,96
31,35,53,59,59,97
31,35,53,59,59,98
31,35,53,59,59,99
31,35,53,59,59,100
31,35,53,59,59,101
31,35,53,59,59,102
31,35,53,59,59,103
31,35,53,59,59,104
31,35,53,59,59,105
31,35,53,59,59,106
31,35,53,59,59,107
31,35,53,59,59,108
31,35,53,59,59,109
31,35,53,59,59,110
29,35,53,59,59,111
29,35,53,59,59,112
29,35,53,59,59,113
29,35,53,59,59,114
27,35,53,59,59,115
27,35,53,59,59,116
27,35,53,59,59,117
27,35,53,59,59,118
27,35,53,59,59,119
27,35,53,59,59,120
27,35,53,59,59,121
27,35,53,59,59,122
27,35,53,59,59,123
27,35,53,59,59,124
27,35,53,59,59,125
27,35,53,59,59,126
27,35,53,59,59,127
27,35,53,59,59,128
27,35,53,59,59,129
27,35,53,59,59,130
27,35,53,59,59,131
27,35,53,59,59,132
27,35,53,59,59,133
25,35,53,59,59,134
25,35,53,59,59,135
25,35,53,59,59,136
25,35,53,59,59,137
25,35,53,59,59,138
25,35,53,59,59,139
25,35,53,59,59,140
25,35,53,59,59,141
25,35,53,59,59,142
25,35,53,59,59,143
25,35,53,59,59,144
25,35,53,59,59,145
25,35,53,59,59,146
25,35,53,59,59,147
25,35,53,59,59,148
25,35,53,59,59,149
25,35,53,59,59,150
25,35,53,59,59,151
25,35,53,59,59,152
25,35,53,59,59,153
25,35,53,59,59,154
25,35,53,59,59,155
25,35,53,59,59,156
25,35,53,59,59,157
25,35,53,59,59,158
25,35,53,59,59,159
25,35,53,59,59,160
25,35,53,59,59,161
25,35,53,59,59,162
25,35,53,59,59,163
25,35,53,59,59,164
25,35,53,59,59,165
25,35,53,59,59,166
25,35,53,59,59,167
25,35,53,59,59,168
25,35,53,59,59,169
25,35,53,59,59,170
25,35,53,59,59,171
25,35,53,59,59,172
25,35,53,59,59,173
25,35,53,59,59,174
25,35,53,59,59,175
25,35,53,59,59,176
