Reagentes sistema 1,Reagentes sistema 2,Reagentes sistema 3,Reagentes sistema 4,Reagentes sistema 5,tempo
89,89,89,89,89,0
87,87,87,87,87,1
85,85,85,85,85,2
83,83,83,83,83,3
81,81,81,81,81,4
79,79,79,79,79,5
77,77,77,77,77,6
75,75,77,75,75,7
73,73,77,75,73,8
71,71,75,73,73,9
69,69,75,73,73,10
67,67,73,73,71,11
65,65,73,71,69,12
63,63,71,71,69,13
63,63,69,69,67,14
61,63,67,69,67,15
59,61,65,67,67,16
59,59,65,67,67,17
57,59,63,67,67,18
57,57,61,67,67,19
57,57,61,67,67,20
57,57,59,67,67,21
55,55,59,67,67,22
53,53,59,67,67,23
51,53,59,67,67,24
49,53,59,67,67,25
49,53,59,67,65,26
47,53,59,67,63,27
47,53,59,67,61,28
45,53,59,67,61,29
45,53,57,67,61,30
43,51,57,67,61,31
43,51,57,67,61,32
43,51,57,67,61,33
43,51,57,67,61,34
43,49,57,67,61,35
41,49,57,67,61,36
41,47,57,67,61,37
41,47,57,67,61,38
41,47,57,67,61,39
41,47,57,67,61,40
39,47,57,67,61,41
39,47,57,67,61,42
39,47,57,67,59,43
39,47,57,67,59,44
39,47,57,67,59,45
39,47,57,67,59,46
39,47,57,67,59,47
39,47,57,67,59,48
39,47,57,67,59,49
39,47,57,67,59,50
39,47,57,67,59,51
37,47,57,67,59,52
37,47,57,67,59,53
35,47,57,67,59,54
35,47,57,67,59,55
35,47,57,67,59,56
33,47,57,67,59,57
33,47,57,67,59,58
33,47,57,67,59,59
33,47,57,67,59,60
33,47,57,67,59,61
31,47,57,67,59,62
31,47,57,67,59,63
31,47,57,67,59,64
31,47,57,67,59,65
31,47,57,67,59,66
31,47,57,67,59,67
31,47,57,67,59,68
31,47,57,67,59,69
31,47,57,67,59,70
31,47,57,67,59,71
31,47,57,67,59,72
31,47,57,67,59,73
31,47,57,67,59,74
31,47,57,67,59,75
31,47,57,67,59,76
31,47,57,67,59,77
31,47,57,67,59,78
31,47,57,67,59,79
29,47,57,67,59,80
29,47,57,67,59,81
29,47,57,67,59,82
29,47,57,67,59,83
29,47,57,67,59,84
29,47,57,67,59,85
29,47,57,67,59,86
29,47,57,67,59,87
29,47,57,67,59,88
29,47,57,67,59,89
29,47,57,65,59,90
29,47,57,65,59,91
27,47,57,65,59,92
27,47,57,65,59,93
27,47,57,65,59,94
27,47,57,65,59,95
27,47,57,65,59,96
27,47,57,65,59,97
27,47,57,65,59,98
27,47,57,65,59,99
27,45,57,65,59,100
27,43,57,65,59,101
27,43,57,65,59,102
